Load_Dependence,Number of misses,CyclWP,CyclWP per miss,folder
-1,96811,3032354,31.32,fp_0_trace
-1,118081,2285557,19.36,fp_10_trace
0,70,1184,16.91,fp_10_trace
1,1,15,15.0,fp_10_trace
2,62,1694,27.32,fp_10_trace
-1,46463,866592,18.65,fp_11_trace
0,36,1533,42.58,fp_11_trace
1,10,274,27.4,fp_11_trace
2,1,381,381.0,fp_11_trace
-1,48724,3015681,61.89,fp_12_trace
0,6,283,47.17,fp_12_trace
1,579,10968,18.94,fp_12_trace
2,18,450,25.0,fp_12_trace
3,3,55,18.33,fp_12_trace
-1,499180,10549548,21.13,fp_13_trace
0,1487,27358,18.4,fp_13_trace
1,4774,134627,28.2,fp_13_trace
2,831,57774,69.52,fp_13_trace
3,1,40,40.0,fp_13_trace
-1,467454,26710574,57.14,fp_1_trace
0,9,113,12.56,fp_1_trace
1,6,665,110.83,fp_1_trace
2,4,1173,293.25,fp_1_trace
3,2,382,191.0,fp_1_trace
4,1,212,212.0,fp_1_trace
-1,69796,2267327,32.49,fp_2_trace
0,13859,409514,29.55,fp_2_trace
1,6947,237147,34.14,fp_2_trace
2,43,845,19.65,fp_2_trace
3,1,31,31.0,fp_2_trace
4,1,19,19.0,fp_2_trace
-1,37458,3790419,101.19,fp_3_trace
0,19973,2386832,119.5,fp_3_trace
1,2918,328511,112.58,fp_3_trace
2,3983,307473,77.2,fp_3_trace
3,58,6965,120.09,fp_3_trace
4,1,220,220.0,fp_3_trace
5,2,277,138.5,fp_3_trace
-1,73895,1798563,24.34,fp_4_trace
0,478,23931,50.06,fp_4_trace
1,240,15614,65.06,fp_4_trace
2,36,3335,92.64,fp_4_trace
3,121,7093,58.62,fp_4_trace
-1,37464,1286916,34.35,fp_5_trace
0,2,22,11.0,fp_5_trace
1,14,218,15.57,fp_5_trace
-1,65303,1928222,29.53,fp_6_trace
0,2990,58389,19.53,fp_6_trace
1,24,1331,55.46,fp_6_trace
2,31,1379,44.48,fp_6_trace
3,1,11,11.0,fp_6_trace
-1,35418,1519956,42.91,fp_7_trace
